"","Institution","Titre du poste","Domaine","Date limite"
"255","Secteur prive","Chef Comptable","Management/Gestion, Finance, Comptabilité et Commerce","30 Aout 22"
"256","HEI/SBH","Chauffeur","Transport et Logistique","29 Aout 22"
"257","HEI/SBH","Programmeur Informatique","Sciences Informatiques","29 Aout 22"
"258","CARE Haiti","Charge.e de projet","Management/Gestion, Finance, Comptabilité et Commerce","29 Aout 22"
"259","Concern Worldwide Haiti","Officier (ère) Finance","Management/Gestion, Finance, Comptabilité et Commerce","29 Aout 22"
"260","HEI/SBH","Coordonnateur/Coordonnatrice de la Gouvernance et du Suivi & �<U+0089>valuation","Sciences économiques et politiques","28 Aout 22"
"261","HEI/SBH","Coordonnateur/Coordonnatrice de Santé Clinique","Santé et Professions médicales","28 Aout 22"
"262","Save the Children en Haiti","Officier(ère) à la Protection de l�<U+0080><U+0099>Enfant","Sciences Humaines et Sociales","28 Aout 22"
"263","Save the Children en Haiti","Stagiaire","Secrétariat","28 Aout 22"
"264","Save the Children en Haiti","Assistant (e) à la Chaine d�<U+0080><U+0099>Approvisionnement","Transport et Logistique","28 Aout 22"
"265","CRS","Officier de Transfert Monétaire","Sciences Humaines et Sociales","27 Aout 22"
"266","CRS","Field Assistant","Sciences Humaines et Sociales","27 Aout 22"
"267","CRS","Human Resources Officer","Management/Gestion, Finance, Comptabilité et Commerce","27 Aout 22"
"268","CRS","Head of Operations","Management/Gestion, Finance, Comptabilité et Commerce","27 Aout 22"
"269","Secteur prive","Comptable de projet","Management/Gestion, Finance, Comptabilité et Commerce","27 Aout 22"
"270","Save the Children en Haiti","CVA Programme Manager","Management/Gestion, Finance, Comptabilité et Commerce","25 Aout 22"
"271","Save the Children en Haiti","Coordonnateur/trice de la Nutrition pour le projet CASH Plus pour Nutrition","Santé et Professions médicales","25 Aout 22"
"272","Save the Children en Haiti","Officier Alimentation du Nourrisson et du Jeune Enfant ANJE/Nutrition","Santé et Professions médicales","25 Aout 22"
"273","Save the Children en Haiti","Agents de Terrain en Transferts Monétaires  & Assistance en Bons d'Achats","Management/Gestion, Finance, Comptabilité et Commerce","25 Aout 22"
"274","ISTEAH","Adjointe administrative","Sciences de l�<U+0080><U+0099>Education","24 Aout 22"
"275","ISTEAH","Comptable","Management/Gestion, Finance, Comptabilité et Commerce","24 Aout 22"
"276","UTE/MEF","Coordonnateur de Projet","Agriculture �<U+0080><U+0093> Agroalimentaire","24 Aout 22"
"277","UTE/MEF","Analyste en Suivi-�<U+0089>valuation","Sciences économiques et politiques","24 Aout 22"
"278","UTE/MEF","Spécialiste Financier","Management/Gestion, Finance, Comptabilité et Commerce","24 Aout 22"
"279","Child Hope International","MDL Family Hope / TSS Manager","Sciences Humaines et Sociales","24 Aout 22"
"280","Fondasyon Depase Fwontyè","Asistan Swivi, Evalyasyon ak Aprentisaj","Sciences Humaines et Sociales","22 Aout 22"
"281","CARE Haiti","Chief of Party","Management/Gestion, Finance, Comptabilité et Commerce","21 Aout 22"
"282","Fondasyon Depase Fwontyè","Asistan Lojistik","Transport et Logistique","21 Aout 22"
"283","GHSC-PSM","Senior Distribution Officer","Transport et Logistique","20 Aout 22"
"284","CRS","Project Officer MEAL","Sciences économiques et politiques","20 Aout 22"
"285","Solidarites International","Responsable d�<U+0080><U+0099>activités Sécurité Alimentaire et Nutritionnelle (Sous réserve de financement)","Management/Gestion, Finance, Comptabilité et Commerce","20 Aout 22"
"286","Entrepreneurs du Monde/Palmis Mikwofinans Sosyal","Agent de recouvrement","Management/Gestion, Finance, Comptabilité et Commerce","20 Aout 22"
"287","Sommets Education / ZL","Infirmiere Scolaire","Santé et Professions médicales","19 Aout 22"
"288","Sommets Education / ZL","Conseiller.e Pédagogique (CP)","Sciences de l�<U+0080><U+0099>Education","19 Aout 22"
"289","IFOS","Gestionnaire de Suivi-Evaluation","Management/Gestion, Finance, Comptabilité et Commerce","19 Aout 22"
"290","Concern Worldwide Haiti","Assistant (e) - Base de données","Sciences économiques et politiques","18 Aout 22"
"291","Concern Worldwide Haiti","Assistant (e) - Mécanisme de plaintes et de réponse (MPR/CRM)","Sciences Humaines et Sociales","18 Aout 22"
"292","Concern Worldwide Haiti","Officier (ère) Suivi, Evaluation, Redevabilité et Apprentissage (MEAL)","Sciences économiques et politiques","18 Aout 22"
"293","JSI","Quantitative Research Lead","Sciences économiques et politiques","18 Aout 22"
"294","UGP/MAST","Spécialiste SIG de l�<U+0080><U+0099>Unité de Gestion du Projets (UGP) du MAST","Sciences Informatiques","18 Aout 22"
"295","UGP/MAST","Chargé (e) des Transferts Monétaires de l�<U+0080><U+0099>Unité de Gestion de Projets du MAST","Management/Gestion, Finance, Comptabilité et Commerce","18 Aout 22"
"296","UGP/MAST","Gestionnaire des plaintes de l'Unité de Gestion de Projets du MAST","Sciences Humaines et Sociales","18 Aout 22"
"297","UGP/MAST","Expert en Système d�<U+0080><U+0099>information de l�<U+0080><U+0099>Unité de Gestion de Projets du (MAST)","Sciences Informatiques","18 Aout 22"
"298","UGP/MAST","Responsable Sécurité de l�<U+0080><U+0099>Unité de Gestion de Projets du MAST","Sécurité","18 Aout 22"
"299","UTE/MEF","Officier en sûreté et santé au travail","Sciences de l�<U+0080><U+0099>Ingénieur","17 Aout 22"
"300","UTE/MEF","Chef du service environnement, social, santé et sécurité du PIC","Sciences de l�<U+0080><U+0099>Ingénieur","17 Aout 22"
"301","CDS","Infirmière en Santé Communautaire","Santé et Professions médicales","17 Aout 22"
"302","WeltHungerHilfe (Agro Action Allemande)","Technicien/Technicienne en Production animale","Agriculture �<U+0080><U+0093> Agroalimentaire","17 Aout 22"
"303","ASFC","Responsable des Finances","Droit","17 Aout 22"
"304","Habitat pour l'humanite Haiti","Ingenieur de Terrain","Sciences de l�<U+0080><U+0099>Ingénieur","16 Aout 22"
"305","UGP/MSPP/PEPFAR","Responsable Financier (ère) de l'Unité de Gestion des Projets (UGP)","Management/Gestion, Finance, Comptabilité et Commerce","15 Aout 22"
"306","ISTEAH","Professeur-e en Génie civil","Sciences de l�<U+0080><U+0099>Education","15 Aout 22"
"307","UGP/MAST","Officier IT de l�<U+0080><U+0099>Unité de Gestion de Projets du MAST","Sciences Informatiques","15 Aout 22"
"308","IMA World Health","Spécialiste Technique Principal en santé communautaire","Santé et Professions médicales","14 Aout 22"
"309","IMA World Health","Comptable Senior","Management/Gestion, Finance, Comptabilité et Commerce","14 Aout 22"
"310","Mercy Corps Haiti","Officier Logistique et Approvisionnement","Transport et Logistique","12 Aout 22"
"311","Concern Worldwide Haiti","Agent de terrain et de Liaison Communautaire : Saint-Martin","Sciences Humaines et Sociales","11 Aout 22"
"312","SOFIHDES","Assistant-Comptable","Management/Gestion, Finance, Comptabilité et Commerce","10 Aout 22"
"313","HELP","IT Instructor (Part-time/ Academic Year 2022-2023)","Sciences Informatiques","10 Aout 22"
"314","HELP","English Language Instructor (ELI) (Full-time)","Langues et Lettres","10 Aout 22"
"315","Concern Worldwide Haiti","Chauffeur Temporaire","Transport et Logistique","10 Aout 22"
"316","Banque","Directeur Réseau et Opérations","Management/Gestion, Finance, Comptabilité et Commerce","10 Aout 22"
"317","Banque","Directeur des Ressources Humaines","Management/Gestion, Finance, Comptabilité et Commerce","10 Aout 22"
"318","Banque","Responsable de l�<U+0080><U+0099>Audit Interne","Management/Gestion, Finance, Comptabilité et Commerce","10 Aout 22"
"319","Banque","Responsable de Paiement","Management/Gestion, Finance, Comptabilité et Commerce","10 Aout 22"
"320","Banque","Responsable du Contrôle de Gestion","Management/Gestion, Finance, Comptabilité et Commerce","10 Aout 22"
"321","CRS","Field Supervisor","Sciences de l�<U+0080><U+0099>Education","10 Aout 22"
"322","IMA World Health","Spécialiste Technique Principal (TB/VIH)","Santé et Professions médicales","8 Aout 22"
"323","Concern Worldwide Haiti","Logistics Manager","Transport et Logistique","8 Aout 22"
"324","GHSC-PSM","Data Manager.","Santé et Professions médicales","8 Aout 22"
"325","Secteur ong","Coordonnateur de Renforcement Economique et Sécurité Alimentaire (RE & SA) et Point Focal Genre","Agriculture �<U+0080><U+0093> Agroalimentaire","8 Aout 22"
"326","Clinton Health Access Initiative","Vector Control and Entomological Surveillance Associate","Santé et Professions médicales","8 Aout 22"
"327","MDM Suisse","Responsable Sécurité Réseau MDM Haïti","Santé et Professions médicales","7 Aout 22"
"328","Save the Children en Haiti","Supply Chain Officer","Transport et Logistique","7 Aout 22"
"329","Save the Children en Haiti","Safety and Security Coordinator","Sécurité","7 Aout 22"
"330","PNUD Haiti","Coordonnateur (rice) de projet_  Republication","Sciences Humaines et Sociales","6 Aout 22"
"331","Compassion International Haiti","Manager of Program Support","Sciences de l�<U+0080><U+0099>Ingénieur","5 Aout 22"
"332","ISTEAH","Répondant administratif","Secrétariat","5 Aout 22"
"333","CRS","Program Manager I-Venezuela (based in Caracas) - (220000BT)","Management/Gestion, Finance, Comptabilité et Commerce","5 Aout 22"
"334","CRS","Humanitarian Operations Technical Advisor I (HOTA I) (Telecommuter) - (2200002Y)","Sciences économiques et politiques","5 Aout 22"
"335","IMA World Health","Assistant(es) Techniques Régionaux(ales)","Sciences Humaines et Sociales","4 Aout 22"
"336","Concern Worldwide Haiti","Chargé (e) de projet de Transfert Monétaires et Marchés","Sciences économiques et politiques","2 Aout 22"
"337","HEI/SBH","Maternal Health and Family Planning Technical Lead","Santé et Professions médicales","2 Aout 22"
"338","HEI/SBH","Child Health and Nutrition Technical Lead","Santé et Professions médicales","2 Aout 22"
"339","HEI/SBH","Supply Chain Technical Lead","Santé et Professions médicales","2 Aout 22"
"340","HEI/SBH","Logistics Manager","Transport et Logistique","2 Aout 22"
"341","HEI/SBH","Deputy Director of Finance-Admin  / Directeur financier et administratif adjoint","Management/Gestion, Finance, Comptabilité et Commerce","2 Aout 22"
"342","HEI/SBH","Assistante Exécutive","Secrétariat","2 Aout 22"
"343","HEI/SBH","Responsable Technique de la Santé Communautaire","Santé et Professions médicales","2 Aout 22"
"344","HEI/SBH","WASH and Disaster Preparedness Technical Lead","Sciences de l�<U+0080><U+0099>Ingénieur","2 Aout 22"
"345","CDS","Médecin Coordonnateur (trice) de Site","Santé et Professions médicales","1 Aout 22"
"346","UCMIT/UCP","Assistante Coordonnatrice TB dans le departement du Centre","Santé et Professions médicales","1 Aout 22"
"347","UCMIT/UCP","Infirmière en santé communautaire Gestionnaire de données","Santé et Professions médicales","1 Aout 22"
"348","Save the Children en Haiti","Assistant(e) à l�<U+0080><U+0099>Education de Base","Sciences de l�<U+0080><U+0099>Education","31 Juil 22"
"349","Samaritan Purse","Program Development Officer","Management/Gestion, Finance, Comptabilité et Commerce","31 Juil 22"
"350","Clinton Health Access Initiative","Program Manager, Haiti","Santé et Professions médicales","31 Juil 22"
"351","SHOG","Chargé de Projet","Santé et Professions médicales","29 Juil 22"
"352","CRS","LACRO] Advisor II, Private Sector Engagement (PSE)","Management/Gestion, Finance, Comptabilité et Commerce","29 Juil 22"
"353","Croix Rouge Canadienne","Assistante administrative et financière","Secrétariat","29 Juil 22"
"354","Chemonics International/FEWS NET Haiti","Office Manager/Accountant","Management/Gestion, Finance, Comptabilité et Commerce","29 Juil 22"
"355","FHI/Humanité & Inclusion_ HI","Chef de projet généraliste (Rédaptation/SMSPS/Mobcom)","Santé et Professions médicales","29 Juil 22"
"356","FHI/Humanité & Inclusion_ HI","Agent de liaison de Sécurité MERLUH","Sécurité","29 Juil 22"
"357","CRS","Officier/Officière Santé","Santé et Professions médicales","28 Juil 22"
"358","Mercy Corps Haiti","Officier Senior Genre","Sciences Humaines et Sociales","28 Juil 22"
"359","Mercy Corps Haiti","Officier Senior, Redevabilité et Systèmes d�<U+0080><U+0099>Information (CARM)","Sciences Humaines et Sociales","28 Juil 22"
"360","ACF","Responsable de Projet Nutrition post Séisme","Sciences Humaines et Sociales","28 Juil 22"
"361","EpiC Project","Associate Director,Finance and Administration","Santé et Professions médicales","27 Juil 22"
"362","HEI/SBH","Ranfòse Sante Deputy MEL Advisor","Santé et Professions médicales","26 Juil 22"
"363","UTE/MEF","Responsable Administratif du Parc Industriel de Caracol","Management/Gestion, Finance, Comptabilité et Commerce","25 Juil 22"
"364","FINCA Haiti S.A.","Treasury Officer","Management/Gestion, Finance, Comptabilité et Commerce","25 Juil 22"
"365","MSF B","Responsable des activités épidémiologiques","Santé et Professions médicales","25 Juil 22"
"366","OIM","Senior Treasury Assistant","Management/Gestion, Finance, Comptabilité et Commerce","25 Juil 22"
"367","PNUD Haiti","ICT Associate","Sciences Informatiques","22 Juil 22"
"368","CHARESS","Informaticien (ne)","Sciences Informatiques","22 Juil 22"
"369","STRATEGYS","Contracts Manager","Management/Gestion, Finance, Comptabilité et Commerce","22 Juil 22"
"370","Concern Worldwide Haiti","Manager Protection","Sciences Humaines et Sociales","22 Juil 22"
"371","UCMIT/UCP","Officier des Stratégies de dépistage de VIH/IST","Santé et Professions médicales","22 Juil 22"
"372","AMB","Attaché(e) de presse et de communication","Communication et Journalisme","22 Juil 22"
"373","RTI International / Act East","Finance Manager","Management/Gestion, Finance, Comptabilité et Commerce","22 Juil 22"
"374","JSI","Officier de Programme","Santé et Professions médicales","22 Juil 22"
"375","JSI","Conseiller principal en communication pour le changement social et de comportement","Communication et Journalisme","22 Juil 22"
"376","JSI","Gestionnaire de données","Santé et Professions médicales","22 Juil 22"
"377","CRS","Head of Office","Management/Gestion, Finance, Comptabilité et Commerce","21 Juil 22"
"378","OIM","Assistant de projet","Management/Gestion, Finance, Comptabilité et Commerce","21 Juil 22"
"379","Plan International-Haiti","Procurement Officer","Management/Gestion, Finance, Comptabilité et Commerce","21 Juil 22"
"380","Plan International-Haiti","Logistics Assistant","Transport et Logistique","21 Juil 22"
"381","Plan International-Haiti","National Accountant","Management/Gestion, Finance, Comptabilité et Commerce","21 Juil 22"
